RegionID,Station Number,Station Name,Station Type,Street Address,Phone Number,Fax Number,E-Mail,Lat,Lon
1,1,Kemp Place Fire Station,Permanent,21 Martin Street Fortitude Valley 4006,07 3362 9923,,enquiry@kempplace.qfes.gov.au,-27.46061736,153.0357795
1,2,Roma Street Fire Station,Permanent,279 Upper Roma St Brisbane City 4101,07 3247 5538,,enquiry@romastreet.qfes.gov.au,-27.46581599,153.0153914
1,3,Annerley Fire Station,Permanent,346 Ipswich Rd Annerley 4103,07 3247 5210,,enquiry@annerley.qfes.gov.au,-27.50439112,153.0347521
1,4,Windsor Fire Station,Permanent,7 Truro St Windsor 4030,07 3247 5564,,enquiry@windsor.qfes.gov.au,-27.42771528,153.0331964
1,5,Ashgrove Fire Station,Permanent,515 Waterworks Rd Ashgrove 4060,07 3366 0258,,enquiry@ashgrove.qfes.gov.au,-27.44789239,152.9760243
1,6,Redland Bay Fire Station,Permanent,33 Gordon Road Redland Bay 4165,07 3829 1403,,enquiry@redlandbay.qfes.gov.au,-27.61089735,153.2890479
1,7,Cannon Hill Fire Station,Permanent,24 Corporate Dr Cannon Hill 4170,07 3909 4346,,enquiry@cannonhill.qfes.gov.au,-27.46765772,153.0913217
1,8,Enoggera Fire Station,Permanent,236 Lloyd St Enoggera 4051,07 3247 4721,,enquiry@enoggera.qfes.gov.au,-27.42545741,152.9888173
1,9,Camp Hill Fire Station,Permanent,112 Ferguson Rd Camp Hill 4152,07 3395 4790,,enquiry@camphill.qfes.gov.au,-27.48806998,153.0785562
1,10,Acacia Ridge Fire Station,Permanent,127 Bradman St Acacia Ridge 4110,07 3344 4329,,enquiry@acaciaridge.qfes.gov.au,-27.58115886,153.0385326
1,11,Hendra Fire Station,Permanent,451 Nudgee Rd Hendra 4011,07 3008 9400,,enquiry@hendra.qfes.gov.au,-27.41524909,153.0748563
1,12,Taringa Fire Station,Permanent,26 Whitmore St Taringa 4068,07 3362 9994,,enquiry@taringa.qfes.gov.au,,
1,13,Rocklea Fire Station,Permanent,93 Medway St Rocklea 4106,07 3362 9992,,enquiry@rocklea.qfes.gov.au,-27.54148907,153.0070191
1,14,Sandgate Fire Station,Permanent,124 Brighton Rd Sandgate 4017,07 3869 0473,,enquiry@sandgate.qfes.gov.au,-27.31650128,153.0664122
1,15,Wynnum Fire Station,Permanent,2006 Wynnum Rd Wynnum West 4178,07 3396 3297,,enquiry@wynnum.qfes.gov.au,-27.4562181,153.1533758
1,16,Chermside Fire Station,Permanent,526 Hamilton Rd Chermside 4032,07 3247 4449,,enquiry@chermside.qfes.gov.au,-27.38516275,153.0235939
1,17,Wishart Fire Station,Permanent,203 Dawson Rd Wishart 4122,07 3247 5551,,enquiry@wishart.qfes.gov.au,-27.55507713,153.0906699
1,18,Durack Fire Station,Permanent,506 Blunder Road Durack 4077,07 3710 1277,,enquiry@durack.qfes.gov.au,-27.58720545,152.9855777
1,19,Pullenvale Fire Station,Permanent,6 Pullenvale Rd Pullenvale 4069,07 3878 1052,,enquiry@pullenvale.qfes.gov.au,-27.52141927,152.921518
1,20,Mount Ommaney Fire Station,Permanent,238 Arrabri Av Mount Ommaney 4074,07 3033 8600,,enquiry@mountommaney.qfes.gov.au,-27.54806964,152.9364322
1,21,Taigum Fire Station,Permanent,263 Beams Road Taigum 4018,07 3865 3605,,enquiry@taigum.qfes.gov.au,-27.35100556,153.0465131
